en,fr
Je ___ un étudiant (I am a student),suis
Tu ___ un chat (You have a cat),as
Il ___ un médecin (He is a doctor),est
Elle ___ une voiture (She has a car),a
Nous ___ contents (We are happy),sommes
Vous ___ raison (You are right),avez
Ils ___ fatigués (They are tired),sont
Elles ___ des amis (They have friends),ont
Je ___ vingt ans (I am twenty years old),ai
Tu ___ français (You are French),es
Il ___ un frère (He has a brother),a
Nous ___ en retard (We are late),sommes
Vous ___ professeurs (You are teachers),êtes
Elles ___ soif (They are thirsty),ont
Je ___ chez moi (I am at home),suis
